,missing_fraction
jurisdiction_names,1.0
license,1.0
neighbourhood_group_cleansed,1.0
has_availability,1.0
square_feet,0.9843793584379359
monthly_price,0.7523012552301255
weekly_price,0.7511854951185495
security_deposit,0.6256624825662482
notes,0.5509065550906556
interaction,0.43347280334728033
access,0.41534170153417016
neighborhood_overview,0.3947001394700139
host_about,0.36513249651324964
transit,0.3598326359832636
house_rules,0.33249651324965135
cleaning_fee,0.3087866108786611
space,0.29483960948396093
review_scores_accuracy,0.2295676429567643
review_scores_location,0.2292887029288703
review_scores_value,0.2290097629009763
review_scores_checkin,0.22873082287308227
review_scores_communication,0.22817294281729428
review_scores_cleanliness,0.22817294281729428
review_scores_rating,0.22677824267782426
last_review,0.2108786610878661
reviews_per_month,0.2108786610878661
first_review,0.2108786610878661
thumbnail_url,0.16708507670850767
medium_url,0.16708507670850767
xl_picture_url,0.16708507670850767
neighbourhood,0.1514644351464435
host_response_time,0.13138075313807532
host_acceptance_rate,0.13138075313807532
host_response_rate,0.13138075313807532
host_neighbourhood,0.09456066945606695
summary,0.039888423988842396
zipcode,0.010599721059972107
bathrooms,0.003905160390516039
market,0.003905160390516039
host_location,0.0030683403068340305
bedrooms,0.002789400278940028
beds,0.002510460251046025
property_type,0.0008368200836820083
city,0.0005578800557880056
description,0.0
experiences_offered,0.0
name,0.0
host_picture_url,0.0
host_thumbnail_url,0.0
host_is_superhost,0.0
picture_url,0.0
host_id,0.0
host_url,0.0
host_name,0.0
host_since,0.0
id,0.0
last_scraped,0.0
listing_url,0.0
scrape_id,0.0
country_code,0.0
street,0.0
host_total_listings_count,0.0
host_listings_count,0.0
price,0.0
amenities,0.0
bed_type,0.0
latitude,0.0
is_location_exact,0.0
longitude,0.0
room_type,0.0
accommodates,0.0
country,0.0
host_identity_verified,0.0
host_has_profile_pic,0.0
host_verifications,0.0
state,0.0
neighbourhood_cleansed,0.0
smart_location,0.0
minimum_nights,0.0
calendar_last_scraped,0.0
number_of_reviews,0.0
availability_90,0.0
availability_365,0.0
availability_60,0.0
availability_30,0.0
maximum_nights,0.0
calendar_updated,0.0
guests_included,0.0
extra_people,0.0
requires_license,0.0
instant_bookable,0.0
cancellation_policy,0.0
require_guest_profile_picture,0.0
require_guest_phone_verification,0.0
calculated_host_listings_count,0.0
